time,level,rain,acc_rain
2018122708,0.93,0,1599
2018122709,0.92,0,1599
2018122710,0.92,0,1599
2018122711,0.92,0,1599
2018122712,0.92,0,1599
2018122713,0.92,0,1599
2018122714,0.92,0,1599
2018122715,0.92,0,1599
2018122716,0.92,0,1599
2018122717,0.92,0,1599
2018122718,0.92,0,1599
2018122719,0.92,0,1599
2018122720,0.92,0,1599
2018122721,0.93,0,1599
2018122722,0.93,0,1599
2018122723,0.93,0,1599
2018122724,0.93,0,1599
2018122801,0.93,0,1599
2018122802,0.93,0,1599
2018122803,0.93,0,1599
2018122804,0.93,0,1599
2018122805,0.93,0,1599
2018122806,0.93,0,1599
2018122807,0.93,0,1599
2018122808,0.93,0,1599
2018122809,0.93,0,1599
2018122810,0.93,0,1599
2018122811,0.93,0,1599
2018122812,0.93,0,1599
2018122813,0.93,0,1599
2018122814,0.93,0,1599
2018122815,0.93,0,1599
2018122816,0.93,0,1599
2018122817,0.93,0,1599
2018122818,0.93,0,1599
2018122819,0.93,0,1599
2018122820,0.93,0,1599
2018122821,0.93,0,1599
2018122822,0.93,0,1599
2018122823,0.93,0,1599
2018122824,0.93,0,1599
2018122901,0.93,0,1599
2018122902,0.93,0,1599
2018122903,0.93,0,1599
2018122904,0.93,0,1599
2018122905,0.93,0,1599
2018122906,0.93,0,1599
2018122907,0.93,0,1599
2018122908,0.93,0,1599
2018122909,0.93,0,1599
2018122910,0.93,0,1599
2018122911,0.93,0,1599
2018122912,0.93,0,1599
2018122913,0.92,0,1599
2018122914,0.92,0,1599
2018122915,0.92,0,1599
2018122916,0.92,0,1599
2018122917,0.92,0,1599
2018122918,0.92,0,1599
2018122919,0.92,0,1599
2018122920,0.92,0,1599
2018122921,0.93,0,1599
2018122922,0.93,0,1599
2018122923,0.93,0,1599
2018122924,0.93,0,1599
2018123001,0.93,0,1599
2018123002,0.93,0,1599
2018123003,0.93,0,1599
2018123004,0.93,0,1599
2018123005,0.93,0,1599
2018123006,0.93,0,1599
2018123007,0.93,0,1599
2018123008,0.93,0,1599
2018123009,0.93,0,1599
2018123010,0.93,0,1599
2018123011,0.93,0,1599
2018123012,0.93,0,1599
2018123013,0.92,0,1599
2018123014,0.92,0,1599
2018123015,0.92,0,1599
2018123016,0.92,0,1599
2018123017,0.92,0,1599
2018123018,0.92,0,1599
2018123019,0.92,0,1599
2018123020,0.93,0,1599
2018123021,0.93,0,1599
2018123022,0.93,0,1599
2018123023,0.93,0,1599
2018123024,0.93,0,1599
2018123101,0.93,0,1599
2018123102,0.93,0,1599
2018123103,0.93,0,1599
2018123104,0.93,0,1599
2018123105,0.93,0,1599
2018123106,0.93,0,1599
2018123107,0.93,0,1599
2018123108,0.93,0,1599
2018123109,0.93,0,1599
2018123110,0.93,0,1599
2018123111,0.93,0,1599
2018123112,0.93,0,1599
2018123113,0.92,0,1599
2018123114,0.92,0,1599
2018123115,0.92,0,1599
2018123116,0.92,0,1599
2018123117,0.92,0,1599
2018123118,0.92,0,1599
2018123119,0.92,0,1599
2018123120,0.92,0,1599
2018123121,0.92,0,1599
2018123122,0.93,0,1599
2018123123,0.93,0,1599
2018123124,0.93,0,1599
2019010101,-,0,0
2019010102,-,0,0
2019010103,-,0,0
2019010104,-,0,0
2019010105,-,0,0
2019010106,-,0,0
2019010107,-,0,0
2019010108,-,0,0
2019010109,-,0,0
2019010110,-,0,0
2019010111,-,0,0
2019010112,-,0,0
2019010113,-,0,0
2019010114,-,0,0
2019010115,-,0,0
2019010116,-,0,0
2019010117,-,0,0
2019010118,-,0,0
2019010119,-,0,0
2019010120,-,0,0
2019010121,-,0,0
2019010122,-,0,0
2019010123,-,0,0
2019010124,-,0,0
2019010201,-,0,0
2019010202,-,0,0
2019010203,-,0,0
2019010204,-,0,0
2019010205,-,0,0
2019010206,-,0,0
2019010207,-,0,0
2019010208,-,0,0
2019010209,-,0,0
2019010210,-,0,0
2019010211,-,0,0
2019010212,-,0,0
2019010213,-,0,0
2019010214,-,0,0
2019010215,-,0,0
2019010216,-,0,0
2019010217,-,0,0
2019010218,-,0,0
2019010219,-,0,0
2019010220,-,0,0
2019010221,-,0,0
2019010222,-,0,0
2019010223,-,0,0
2019010224,-,0,0
2019010301,-,0,0
2019010302,-,0,0
2019010303,-,0,0
2019010304,-,0,0
2019010305,-,0,0
2019010306,-,0,0
2019010307,-,0,0
2019010308,-,0,0
2019010309,-,0,0
2019010310,-,0,0
2019010311,-,0,0
2019010312,-,0,0
2019010313,-,0,0
2019010314,-,0,0
2019010315,-,0,0
2019010316,-,0,0
2019010317,-,0,0
2019010318,-,0,0
2019010319,-,0,0
2019010320,-,0,0
2019010321,-,0,0
2019010322,-,0,0
2019010323,-,0,0
2019010324,-,0,0
2019010401,-,0,0
2019010402,-,0,0
2019010403,-,0,0
2019010404,-,0,0
2019010405,-,0,0
2019010406,-,0,0
2019010407,-,0,0
2019010408,-,0,0
2019010409,-,0,0
2019010410,-,0,0
2019010411,-,0,0
2019010412,-,0,0
2019010413,-,0,0
2019010414,-,0,0
2019010415,-,0,0
2019010416,-,0,0
2019010417,-,0,0
2019010418,-,0,0
2019010419,-,0,0
2019010420,-,0,0
2019010421,-,0,0
2019010422,-,0,0
2019010423,-,0,0
2019010424,-,0,0
2019010501,-,0,0
2019010502,-,0,0
2019010503,-,0,0
2019010504,-,0,0
2019010505,-,0,0
2019010506,-,0,0
2019010507,-,0,0
2019010508,-,0,0
2019010509,-,0,0
2019010510,-,0,0
2019010511,-,0,0
2019010512,-,0,0
2019010513,-,0,0
2019010514,-,0,0
2019010515,-,0,0
2019010516,-,0,0
2019010517,-,0,0
2019010518,-,0,0
2019010519,-,0,0
2019010520,-,0,0
2019010521,-,0,0
2019010522,-,0,0
2019010523,-,0,0
2019010524,-,0,0
2019010601,-,0,0
2019010602,-,0,0
2019010603,-,0,0
2019010604,-,0,0
2019010605,-,0,0
2019010606,-,0,0
2019010607,-,0,0
2019010608,-,0,0
2019010609,-,0,0
2019010610,-,0,0
2019010611,-,0,0
2019010612,-,0,0
2019010613,-,0,0
2019010614,-,0,0
2019010615,-,0,0
2019010616,-,0,0
2019010617,-,0,0
2019010618,-,0,0
2019010619,-,0,0
2019010620,-,0,0
2019010621,-,0,0
2019010622,-,0,0
2019010623,-,0,0
2019010624,-,0,0
2019010701,-,0,0
2019010702,-,0,0
2019010703,-,0,0
2019010704,-,0,0
2019010705,-,0,0
2019010706,-,0,0
2019010707,-,0,0
2019010708,-,0,0
2019010709,-,0,0
2019010710,-,0,0
2019010711,-,0,0
2019010712,-,0,0
2019010713,-,0,0
2019010714,-,0,0
2019010715,-,0,0
2019010716,-,0,0
2019010717,-,0,0
2019010718,-,0,0
2019010719,-,0,0
2019010720,-,0,0
2019010721,-,0,0
2019010722,-,0,0
2019010723,-,0,0
2019010724,-,0,0
2019010801,-,0,0
2019010802,-,0,0
2019010803,-,0,0
2019010804,-,0,0
2019010805,-,0,0
2019010806,-,0,0
2019010807,-,0,0
2019010808,-,0,0
2019010809,-,0,0
2019010810,-,0,0
2019010811,-,0,0
2019010812,-,0,0
2019010813,-,0,0
2019010814,-,0,0
2019010815,-,0,0
2019010816,-,0,0
2019010817,-,0,0
2019010818,-,0,0
2019010819,-,0,0
2019010820,-,0,0
2019010821,-,0,0
2019010822,-,0,0
2019010823,-,0,0
2019010824,-,0,0
2019010901,-,0,0
2019010902,-,0,0
2019010903,-,0,0
2019010904,-,0,0
2019010905,-,0,0
2019010906,-,0,0
2019010907,-,0,0
2019010908,-,0,0
2019010909,-,0,0
2019010910,-,0,0
2019010911,-,0,0
2019010912,-,0,0
2019010913,-,0,0
2019010914,-,0,0
2019010915,-,0,0
2019010916,-,0,0
2019010917,-,0,0
2019010918,-,0,0
2019010919,-,0,0
2019010920,-,0,0
2019010921,-,0,0
2019010922,-,0,0
2019010923,-,0,0
2019010924,-,0,0
2019011001,-,0,0
2019011002,-,0,0
2019011003,-,0,0
2019011004,-,0,0
2019011005,-,0,0
2019011006,-,0,0
2019011007,-,0,0
2019011008,-,0,0
2019011009,-,0,0
2019011010,-,0,0
2019011011,-,0,0
2019011012,-,0,0
2019011013,-,0,0
2019011014,-,0,0
2019011015,-,0,0
2019011016,-,0,0
2019011017,-,0,0
2019011018,-,0,0
2019011019,-,0,0
